time,control_7.5_15_mean,control_7.5_15_sd,control_20_15_mean,control_20_15_sd,control_50_15_mean,control_50_15_sd,warming_7.5_15_mean,warming_7.5_15_sd,warming_20_15_mean,warming_20_15_sd,warming_50_15_mean,warming_50_15_sd
1,1247.49,423.00,100.44,101.36,24.19,14.85,785.31,508.45,135.15,114.97,12.69,4.84
2,599.90,248.88,129.52,97.70,29.79,13.33,555.66,347.75,72.90,58.33,16.47,5.97
3,798.28,395.32,124.58,79.84,30.28,11.26,706.71,571.80,95.29,105.89,13.06,6.24
4,681.89,281.69,169.72,163.31,22.91,9.73,940.73,544.22,70.91,54.75,13.31,5.47
5,771.66,448.86,247.92,229.42,32.32,24.44,1047.19,561.92,70.83,59.40,14.06,6.06
6,596.76,284.84,113.75,93.64,26.10,13.86,621.19,509.87,74.14,28.58,12.35,4.08
7,756.18,473.69,91.68,91.85,36.90,37.80,672.40,364.98,75.79,67.55,10.15,5.06
8,622.91,337.90,141.47,188.86,19.16,8.47,719.01,314.14,69.50,61.73,10.02,5.31
9,439.46,240.90,196.76,159.97,26.25,10.34,286.92,137.45,57.69,62.84,10.52,4.89
10,552.04,373.13,89.82,66.92,23.65,8.79,409.03,291.49,67.51,61.12,15.64,6.06
11,529.66,357.92,93.74,80.75,22.08,8.53,400.27,329.96,77.98,40.14,12.51,3.54
12,469.90,321.28,82.51,56.65,17.83,5.35,392.50,307.27,41.56,49.08,8.17,3.13
13,505.14,240.58,113.00,101.55,13.63,6.56,405.48,273.15,,,6.90,2.68
25,406.73,182.73,72.60,65.72,30.96,13.98,370.22,50.49,62.94,51.11,8.87,6.58
32,306.74,130.87,40.86,27.84,14.78,5.98,200.35,45.39,31.08,26.17,8.94,4.21
39,194.24,76.18,59.34,29.17,14.64,7.01,136.48,101.01,35.11,26.32,7.79,3.17
46,229.78,117.59,46.57,24.63,12.27,6.02,138.92,101.60,40.68,30.55,7.77,4.14
66,209.77,96.29,55.54,30.50,11.63,5.67,154.81,88.60,35.47,22.05,7.70,2.94
70,192.68,75.19,49.33,29.95,9.66,3.14,162.96,112.65,35.67,21.46,8.05,3.20
78,180.52,42.47,53.15,26.10,11.38,6.08,136.24,99.14,38.21,23.58,8.49,4.05
80,234.17,117.07,36.17,31.48,16.09,7.18,92.55,73.50,30.78,18.57,7.83,3.21
85,183.82,50.37,48.25,21.70,9.14,2.70,133.99,48.66,37.55,22.87,7.48,3.23
93,178.52,52.50,55.68,17.33,8.57,2.67,135.39,70.13,44.89,20.92,7.28,3.10
113,186.17,52.97,42.73,15.95,10.65,3.78,115.68,54.49,33.73,19.00,7.80,3.39
124,141.70,48.71,36.47,13.16,7.17,1.99,103.42,51.25,28.56,14.01,6.13,2.61
137,130.98,44.48,38.88,14.34,9.30,6.82,94.16,56.36,29.90,16.04,5.93,3.44
157,119.66,65.48,37.93,12.94,5.90,1.69,103.68,53.26,28.92,15.97,5.57,2.86
191,150.49,86.53,39.68,11.68,9.40,4.64,104.41,54.05,32.10,16.23,6.93,3.33
258,120.66,45.00,38.87,13.51,9.50,5.32,94.92,54.50,29.97,15.30,6.79,3.27
283,109.67,37.31,39.90,14.27,8.03,5.59,90.98,52.60,28.74,13.94,6.29,3.14
342,80.37,28.90,33.59,12.25,8.16,5.20,79.93,51.63,21.89,11.15,6.52,4.43
365,77.94,8.98,34.06,13.01,7.90,4.76,78.90,52.16,22.82,12.28,3.79,1.59
