time,Sugar1,Sugar2,Sugar3,Sugar4,Sugar5,Sugar6,Sugar7,Sugar8,Energy9,Energy10,Energy11,Energy12,Energy13,Energy14,Energy15,Energy16,SugarComm17,SugarComm18,SugarComm19,SugarComm20
1,2050.39666666667,2090.41333333333,842.653333333333,475.656666666667,1317.62666666667,1007.98666666667,897.433333333333,292.303333333333,1870.02666666667,1088.16,800.2,344.563333333333,3294.69,1093.94,447.77,309.58,2531.06333333333,1129.33333333333,735.216666666667,738.856666666667
4,5475.09333333333,4460.82,1855.64666666667,792.68,5326.03,3330.51666666667,1922.32333333333,595.83,4578.03666666667,2828.35666666667,1566.15,697.7,7025.14666666667,3261.41666666667,1026.49666666667,609.433333333333,6688.05333333333,2925.77666666667,1421.81333333333,2248.57
8,8538.17,7108.00666666667,2962.84666666667,1315.59666666667,8585.91333333334,5456.28666666667,2938.81333333333,893.986666666667,7260.58,4415.58333333333,2368.80333333333,1124.14666666667,11397.8833333333,5033.54333333333,1513.11666666667,803.88,10379.7966666667,4668.27,2213.43333333333,3504.85
13,12009.5966666667,9609.2,4108,1771.54,12594.8066666667,7886.45,4021.76,1188.83,10062.8066666667,6247.31,3223.91,1571.92,15733.8833333333,7291.79666666667,2141.73333333333,1099.18333333333,14214.58,6481.67666666667,2988.25333333333,4929.98333333333
18,15404.5266666667,12409.5,5216.13666666667,2136.38666666667,16307.2533333333,10014.68,5014.30333333333,1381.86,13109.05,7820.74666666667,4086.83,1974.20666666667,20789.0133333333,9263.65666666666,2704.59,1307.58333333333,18158.5866666667,8113.61,3714.33666666667,6155.52333333333
24,18933.3483333333,15209.4916666667,6407.24333333333,2566.99333333333,20307.89,12262.8566666667,6059.37333333333,1573.60333333333,16169.2333333333,9622.14,4921.78666666667,2388.445,25628.0383333333,11423.6733333333,3289.04333333333,1558.07,21911.29,9835.72166666667,4425.00666666667,7479.97166666667
30,22268.9716666667,17884.7716666667,7568.31333333333,2985.24333333333,24249.8166666667,14383.06,7056.97,1808.31666666667,19141.89,11317.3333333333,5728.78,2873.705,30250.9583333333,13583.64,3839.39333333333,1837.41333333333,25309.62,11428.6316666667,5120.26333333333,8811.135
36,25331.8916666667,20449.0483333333,8953.70333333333,3308.10333333333,27667.4766666667,16286.1233333333,7852.88666666667,2003.16333333333,22022.2366666667,12794.7733333333,6346.78,3220.935,34857.745,15463.7933333333,4235.70666666667,2045.95666666667,28527.4733333333,12943.1416666667,5880.43,9952.72166666667
42,28250.3916666667,23095.6716666667,9926.14,3633.73333333333,31118.88,18045.5733333333,8701.45,2281.55333333333,24868.96,14219.2566666667,7106.86,3476.48833333333,39194.4683333333,17291.54,4675.40333333333,2243.63333333333,32047.1766666667,14475.6116666667,6562.61333333333,11215.5216666667
48,30902.2516666667,25418.1583333333,10759.095,3825.13166666667,34396.63,19710.6266666667,9343.205,2324.59,27348.7833333333,15489.1816666667,7516.50333333333,3647.82666666667,43007.005,19004.7466666667,4971.23833333333,2392.39333333333,35165.32,15826.995,7015.12333333333,12243.5283333333
54,33669.2716666667,28090.6416666667,11622.3883333333,4132.96833333333,37500.7266666667,21281.2833333333,10097.025,2583.20666666667,30078.5666666667,16815.2283333333,8248.32,3903.19666666667,47299.6316666667,20603.4133333333,5357.735,2539.85333333333,38540.22,17248.7183333333,7692.52333333333,13377.745
60,36271.155,30362.985,12384.6083333333,4426.31166666667,40299.59,22853.9366666667,10812.8416666667,2742.72333333333,32640.2066666667,18059.0583333333,8887.35333333333,4228.05,51054.7316666667,22100.1033333333,5686.275,2722.51666666667,41555.8866666667,18591.0416666667,8245.11666666667,14395.3816666667
66,38814.1383333333,32290.295,13096.9366666667,4745.12166666667,42120.8633333333,24597.42,11503.0683333333,2959.02333333333,35017.25,19105.105,9432.16,4431.57666666667,54281.3316666667,23668.5266666667,6046.59166666667,2861.71666666667,43855.15,19855.6116666667,8713.84666666667,15458.9316666667
72,41263.215,34254.6383333333,13839.61,5059.00833333333,44695.9666666667,26172.35,12178.9816666667,3157.59333333333,37285.2333333333,20327.465,9959.44666666666,4768.26666666667,57505.5616666667,25191.9733333333,6411.38833333333,3057.60333333333,46659.4266666667,21163.1283333333,9164.15,16473.505
78,43406.5383333333,35996.3283333333,14585.4133333333,5319.90833333333,47026.73,27612.81,12799.9083333333,3273.50333333333,38820.7233333333,21401.2083333333,10409.22,5005.37,60360.775,26601.7133333333,6715.12166666667,3229.72,49149.5733333333,22333.7316666667,9556.54666666667,17343.555
84,45504.3083333333,37824.315,15122.95,5574.335,49062.1466666667,28827.9733333333,13374.6816666667,3416.25333333333,40834.5233333333,22449.765,10962.3133333333,5263.51666666667,63489.6516666667,27887.8466666667,6949.04833333333,3307.55666666667,51722.3733333333,23436.4483333333,10018.9433333333,18158.5983333333
90,47411.5816666667,39385.9983333333,15780.83,5861.105,51048.5166666667,30114.7366666667,13942.115,3580.21,42643.8066666667,23405.3816666667,11367.4933333333,5444.85,66230.4583333333,29143.6666666667,7210.26166666667,3469.05333333333,54012.3566666667,24469.0116666667,10399.4533333333,18964.1283333333
