"time","CO2C_DeMin_DeS","CO2C_DeMin_DuS","CO2C_DeMin_HS","CO2C_DeMin_PS","CO2C_DeMin_LowMS","CO2C_DeMin_LMS","CO2C_HS_glu","CO2C_HS_NH4Cl","CO2C_HS_una","CO2C_HS_gly","CO2C_LMS_glu","CO2C_LMS_gly","CO2C_LMS_NH4Cl","CO2C_HS_una"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01,0.01,0.01,0.01,-0.03,0.06,0.05,0.06,0.03,0.03,0.01,0.01,0.01,0.01
5,0.1,0.04,0.06,0.05,0.06,0.16,0.06,0.09,0.02,0.04,0.06,0.02,0.01,0.01
8,0.11,0.09,0.09,0.08,0.07,0.23,0.08,0.11,0.02,0.05,0.11,0.04,0.01,0.02
13,0.13,0.12,0.12,0.09,0.08,0.29,0.12,0.12,0.05,0.06,0.22,0.06,0.02,0.03
18,0.15,0.15,0.14,0.12,0.11,0.43,0.17,0.14,0.06,0.07,0.29,0.08,0.03,0.04
24,0.17,0.16,0.15,0.12,0.1,0.53,0.25,0.16,0.08,0.08,0.37,0.15,0.04,0.04
30,0.19,0.17,0.15,0.13,0.1,0.63,0.33,0.18,0.1,0.09,0.43,0.24,0.05,0.05
36,0.21,0.17,0.15,0.13,0.09,0.69,0.39,0.19,0.12,0.1,0.48,0.29,0.07,0.06
42,0.22,0.18,0.15,0.13,0.09,0.74,0.45,0.2,0.14,0.11,0.52,0.33,0.08,0.08
48,0.23,0.19,0.15,0.14,0.09,0.79,0.49,0.21,0.16,0.13,0.55,0.36,0.09,0.09
